msData_ID	spotInd	include	name	group	class	batch	startRT_seconds	endRT_seconds	comment
20180929_0608	0	True	Spot_0	ULW GP	unknown	6	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0608', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0609	0	True	Spot_0	SV	unknown	6	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0609', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0610	0	True	Spot_0	SML GP	unknown	6	7.105000019	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0610', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0611	0	True	Spot_0	SML GP	unknown	6	8.119999766	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0611', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0612	0	True	Spot_0	SML GP	unknown	6	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0612', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0700	0	False	Spot_1	unknown	unknown	7	7.105000019	59.87400055	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0700', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0701	0	True	Spot_0	SV	unknown	7	5.076000094	34.50499892	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0701', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0702	0	True	Spot_0	CSW	unknown	7	3.045999929	37.54899859	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0702', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0703	0	True	Spot_0	SV	unknown	7	4.0609999	38.56400013	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0703', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0704	0	True	Spot_0	QC MIX22	unknown	7	4.0609999	39.57900167	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0704', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0705	0	True	Spot_0	WB	unknown	7	5.076000094	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0705', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0706	0	True	Spot_0	ULW GP	unknown	7	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0706', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0707	0	True	Spot_0	ULW GP	unknown	7	6.089999825	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0707', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0708	0	True	Spot_0	ULW GP	unknown	7	6.090999842	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0708', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0709	0	True	Spot_0	SV	unknown	7	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0709', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0710	0	True	Spot_0	SML GP	unknown	7	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0710', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0711	0	True	Spot_0	SML GP	unknown	7	8.119999766	40.59299827	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0711', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
20180929_0712	0	True	Spot_0	SML GP	unknown	7	9.135000408	40.59399962	spot automatically extracted by _get_separate_chronogram_indices(msData, '20180929_0712', intensityThreshold = 5000.000000, startTime_seconds = 0.000000, endTime_seconds = 1000000.000000)
